10101	94	91	54	84	96
10102	93	55	70	78	92
10103	96	59	56	91	93
10104	98	58	85	73	89
10105	96	93	89	92	85
10106	99	47	61	88	87
10107	96	67	74	90	89
10108	93	77	72	80	92
10109	92	79	63	69	94
10110	68	33	68	60	45
10111	96	56	58	90	87
10112	98	47	89	88	93
10113	93	82	84	82	89
10114	95	85	66	91	94
10115	95	85	58	86	91
10116	91	99	77	93	92
10117	97	76	62	88	88
10118	95	20	81	84	91
10119	93	53	62	77	91
10120	98	65	69	97	92
10121	96	95	91	95	92
10122	95	70	75	86	91
10123	92	79	84	88	86
10124	94	45	67	87	92
10125	97	69	72	83	96
10126	95	59	74	81	93
10127	93	55	61	73	97
10128	95	66	71	84	90
10129	95	79	69	77	90
10130	93	76	52	92	91
10131	94	56	63	91	91
10132	95	43	62	71	65
10133	100	63	77	79	89
10134	70	54	49	76	92
10135	97	45	63	79	97
10136	96	72	66	72	91
10137	97	53	66	94	93
10138	95	81	65	88	86
10139	95	63	77	86	90
10140	92	60	45	73	94
10141	98	76	60	94	96
10142	93	87	75	97	94
10143	95	69	74	86	90
10144	96	95	90	98	95
10145	96	75	81	79	90
10146	95	46	90	85	88
10147	98	66	68	94	92
10148	96	78	62	74	92
10149	93	65	85	77	93
10150	94	72	54	79	95
